cycle_id,tooth_type,cutting_edge,metric_name,metric_value
41,side,4,vb_half_ap,0.233
41,side,4,wear_area,0.08459999999999998
42,side,1,vbmax,0.1671
42,side,1,vb_half_ap,0.1616
42,side,1,wear_area,0.0517
42,side,2,vbmax,0.3581
42,side,2,vb_half_ap,0.3103
42,side,2,wear_area,0.3001
42,side,3,vbmax,0.233
42,side,3,vb_half_ap,0.2156
42,side,3,wear_area,0.0564
42,side,4,vbmax,0.2037
42,side,4,vb_half_ap,0.197
42,side,4,wear_area,0.055
43,side,1,vbmax,0.1313
43,side,1,vb_half_ap,0.1134
43,side,1,wear_area,0.07699999999999999
43,side,2,vbmax,0.364
43,side,2,vb_half_ap,0.3347
43,side,2,wear_area,0.3186
43,side,3,vbmax,0.3522
43,side,3,vb_half_ap,0.3223
43,side,3,wear_area,0.06870000000000001
43,side,4,vbmax,0.2043
43,side,4,vb_half_ap,0.1918
43,side,4,wear_area,0.07719999999999999
44,side,1,vbmax,0.2211
44,side,1,vb_half_ap,0.1977
44,side,1,wear_area,0.039299999999999995
44,side,2,vbmax,0.245
44,side,2,vb_half_ap,0.2208
44,side,2,wear_area,0.2973
44,side,3,vbmax,0.2686
44,side,3,vb_half_ap,0.2326
44,side,3,wear_area,0.1036
44,side,4,vbmax,0.1552
44,side,4,vb_half_ap,0.1432
44,side,4,wear_area,0.06989999999999999
45,side,1,vbmax,0.3223
45,side,1,vb_half_ap,0.2985
45,side,1,wear_area,0.0988
45,side,2,vbmax,0.3343
45,side,2,vb_half_ap,0.3225
45,side,2,wear_area,0.3356
45,side,3,vbmax,0.2209
45,side,3,vb_half_ap,0.2149
45,side,3,wear_area,0.11610000000000001
45,side,4,vbmax,0.2029
45,side,4,vb_half_ap,0.191
45,side,4,wear_area,0.056
46,side,1,vbmax,0.179
46,side,1,vb_half_ap,0.1675
46,side,1,wear_area,0.0663
46,side,2,vbmax,0.3492
46,side,2,vb_half_ap,0.1791
46,side,2,wear_area,0.3568
46,side,3,vbmax,0.2925
46,side,3,vb_half_ap,0.2567
46,side,3,wear_area,0.09890000000000002
46,side,4,vbmax,0.2806
46,side,4,vb_half_ap,0.226
